Category,Signal,Description,Weight,Evaluation,Keywords
Experience,Author credentials,Author has demonstrated expertise in the topic area,high,Check author bio credentials education certifications,"experience author credentials bio expertise qualifications"
Experience,First-hand experience,Content demonstrates first-hand experience with the topic,high,Look for personal anecdotes case studies original research,"first-hand experience personal original research case study"
Experience,Practical examples,Content includes practical real-world examples,medium,Check for screenshots code samples tutorials,"practical examples real-world tutorial demonstration"
Experience,Original insights,Content provides original insights not found elsewhere,high,Assess uniqueness of perspective and information,"original insights unique perspective proprietary"
Expertise,Subject matter authority,Author is recognized expert in the field,high,Check credentials publications speaking engagements,"expertise authority expert credentials subject matter"
Expertise,Educational background,Author has relevant educational background,medium,Verify degrees certifications relevant training,"education degree certification training qualification"
Expertise,Professional experience,Author has professional experience in the topic,high,Check work history portfolio client work,"professional experience work history career portfolio"
Expertise,Citations from experts,Content cited by other recognized experts,medium,Check backlinks mentions in authoritative sources,"citation reference backlink authority mention"
Authoritativeness,Domain authority,Website is recognized authority in niche,high,Check domain age backlinks brand searches,"authority domain da reputation established"
Authoritativeness,Editorial standards,Clear editorial standards and fact-checking process,medium,Check for editorial guidelines correction policies,"editorial standards fact-checking guidelines policy"
Authoritativeness,Awards and recognition,Recognition from industry or peers,low,Check for awards badges industry recognition,"awards recognition industry badge certification"
Authoritativeness,Media mentions,Mentions in authoritative media outlets,medium,Check news mentions press coverage,"media mention press coverage news article"
Trustworthiness,Contact information,Clear contact information and customer service,high,Check for email phone address contact forms,"contact information phone email address support"
Trustworthiness,About page,Comprehensive about page with company info,high,Verify about page has detailed company information,"about page company information background team"
Trustworthiness,Privacy policy,Clear comprehensive privacy policy,high,Check for detailed GDPR-compliant privacy policy,"privacy policy gdpr data protection legal"
Trustworthiness,Terms of service,Clear terms of service and legal info,medium,Verify TOS refund policy disclaimers,"terms of service legal tos disclaimer refund"
Trustworthiness,HTTPS and security,Secure connection with valid SSL,high,Check for valid SSL certificate security indicators,"https ssl security certificate secure connection"
Trustworthiness,Trust signals,Trust badges reviews testimonials,medium,Check for verified reviews BBB rating trust seals,"trust badge review testimonial rating seal"
Trustworthiness,Transparent authorship,Clear author attribution and transparency,high,Check for author names photos bios on content,"author attribution byline bio transparency"
Trustworthiness,Regular updates,Content is regularly updated and maintained,medium,Check last updated dates freshness signals,"updated fresh current maintenance date"
Content Quality,Depth of coverage,Comprehensive coverage of the topic,high,Assess completeness thoroughness of information,"depth comprehensive thorough complete coverage"
Content Quality,Accuracy,Information is factually accurate and verifiable,high,Cross-check facts against authoritative sources,"accuracy factual correct verified truth"
Content Quality,Citations and sources,Proper citations to authoritative sources,high,Check for links to studies research data,"citation source reference research study data"
Content Quality,Writing quality,Well-written clear grammatically correct,medium,Check grammar spelling readability clarity,"writing quality grammar spelling readability clear"
Content Quality,Visual quality,High-quality images videos diagrams,medium,Assess quality of visual content,"visual image video quality professional diagram"
Content Quality,Unique content,Original content not duplicated elsewhere,high,Check for plagiarism duplicate content issues,"unique original content plagiarism duplicate"
Page Signals,Helpful content,Content is genuinely helpful to users,high,Assess user value problem-solving utility,"helpful useful valuable user-focused problem-solving"
Page Signals,User intent match,Content matches search intent,high,Verify content addresses why users searched,"intent match relevance user query purpose"
Page Signals,Primary purpose clear,Clear primary purpose of the page,medium,Check if purpose is immediately apparent,"purpose goal objective clear primary"
Page Signals,Content priority,Main content is prioritized over ads,high,Verify MC is above fold not buried in ads,"content priority main content advertising balance"
Engagement,Low bounce rate,Users stay and engage with content,medium,Monitor engagement metrics time on page,"engagement bounce rate time dwell retention"
Engagement,Social signals,Content is shared on social media,low,Check social shares likes comments,"social share like comment viral engagement"
Engagement,Comments and discussion,Active user comments and discussion,low,Check for genuine user comments discussion,"comments discussion engagement community user"
Engagement,Repeat visitors,Users return to the site,medium,Monitor repeat visit rate brand searches,"repeat visitor loyalty returning brand search"
Technical,Mobile friendly,Optimized for mobile devices,high,Test with Mobile-Friendly Test tool,"mobile responsive mobile-friendly viewport adaptive"
Technical,Page speed,Fast page load times,high,Test with PageSpeed Insights Lighthouse,"speed performance loading fast lcp fcp"
Technical,Core Web Vitals,Passes Core Web Vitals assessment,high,Monitor INP LCP CLS metrics,"core web vitals inp lcp cls performance"
Technical,Accessibility,Meets accessibility standards,medium,Test with WAVE axe accessibility checkers,"accessibility wcag a11y screen reader keyboard"
