Industry,SEO Focus,Content Strategy,Technical Priority,Schema Recommendations,Keywords
SaaS,Product features benefits use cases,Feature pages comparison guides case studies,Core Web Vitals API documentation site search,SoftwareApplication Product FAQHow-To restricted,saas software service cloud subscription platform
E-commerce,Product pages category optimization,Product descriptions buying guides reviews,Site speed mobile checkout flow breadcrumbs,Product Offer AggregateRating BreadcrumbList,ecommerce shop store retail product shopping
Local Services,Local SEO Google Business Profile,Service pages location pages testimonials,Mobile-first local schema NAP consistency,LocalBusiness Service Review GeoCoordinates,local service business location area geo
Publisher/Blog,Content freshness topical authority,Long-form content topic clusters regular publishing,Page speed social sharing structured data,Article BlogPosting Person Organization,blog publisher content media journalism
Agency,Portfolio case studies service pages,Service descriptions client success stories thought leadership,Site speed contact forms clear CTAs,Organization Service CreativeWork,agency marketing consulting services professional
Healthcare,YMYL compliance medical accuracy,Educational content condition guides provider bios,Security HIPAA compliance mobile optimization,MedicalOrganization Physician MedicalCondition,healthcare medical health doctor clinic
Legal,YMYL trust signals attorney profiles,Practice area pages legal guides FAQ,Security privacy contactforms testimonials,LegalService Attorney Organization FAQ,legal law lawyer attorney practice
Finance,YMYL security trust signals,Educational content calculators guides tools,Security compliance data protection,FinancialService Organization,finance financial banking investment money
Real Estate,Local SEO property listings,Property descriptions area guides virtual tours,Mobile-first map integrations IDX feeds,RealEstateAgent Place Residence Apartment,real estate property home house apartment
Education,Course pages program information,Course catalogs student resources blog content,Accessibility mobile-friendly application forms,EducationalOrganization Course LearningResource,education school university college course
Non-Profit,Donation optimization mission clarity,Impact stories donation pages volunteer info,Accessibility transparency contact info,NGO DonateAction Organization,nonprofit charity donation volunteer cause
Hospitality,Booking optimization local SEO,Room descriptions amenities guest reviews,Mobile-first booking integration speed,Hotel LodgingBusiness Resort,hotel hospitality lodging accommodation
Restaurant,Local SEO menu optimization,Menu items location info reservations,Mobile ordering system Google Business Profile,Restaurant FoodEstablishment Menu,restaurant food dining menu cuisine
E-learning,Course discovery student reviews,Course pages instructor bios learning outcomes,Video optimization platform reliability,Course EducationalOrganization LearningResource,elearning online learning education training
Marketplace,Seller/buyer experience,Category pages user guides trust signals,Search functionality filtering mobile checkout,Product Marketplace Offer,marketplace platform buying selling trade
B2B Enterprise,Lead generation thought leadership,Whitepapers case studies industry insights,Security compliance enterprise features,Organization Service Product SoftwareApplication,b2b enterprise business corporate
Automotive,Local inventory VIN optimization,Vehicle descriptions service pages reviews,Mobile site speed location finder,Car AutoDealer Vehicle LocalBusiness,automotive car dealer vehicle auto
Travel,Destination content booking flow,Destination guides travel tips booking options,Mobile speed international SEO currency,TouristDestination Trip Hotel Restaurant,travel tourism destination vacation trip
Technology,Technical documentation product specs,Documentation tutorials API references,Developer experience code samples sandbox,SoftwareApplication TechArticle HowTo,technology tech software hardware engineering
Gaming,Community engagement updates,Game guides community content update logs,Performance graphics mobile optimization,VideoGame SoftwareApplication,gaming game videogame esports entertainment
